MSOA code,house price
E02001144,138000 
E02001145,139500 
E02001146,87000 
E02001147,122750 
E02001148,117000 
E02001149,114995 
E02001150,139998 
E02001151,165000 
E02001152,138998 
E02001153,148995 
E02001154,118750 
E02001155,124500 
E02001156,199950 
E02005278,157500 
E02005279,100000 
E02005280,128000 
E02005281,156000 
E02005284,198000 
E02005285,174500 
E02005286,125000 
E02006884,110000 
E02001157,110000 
E02001158,105000 
E02001159,138000 
E02001160,170000 
E02001161,130000 
E02001162,135000 
E02001163,184000 
E02001164,172500 
E02001165,150000 
E02001166,292500 
E02001167,143000 
E02001168,165000 
E02001169,250000 
E02001170,284750 
E02001171,185000 
E02001172,175450 
E02001173,166995 
E02001174,185000 
E02001175,167000 
E02001176,219998 
E02001177,165000 
E02001178,165000 
E02001179,145000 
E02001180,156750 
E02001181,138750 
E02001182,145000 
E02001183,132650 
E02001184,159950 
E02001185,160625 
E02001186,149000 
E02001429,156000 
E02001430,200000 
E02001431,155000 
E02001432,112500 
E02001433,135000 
E02001434,162000 
E02001435,150000 
E02001436,165000 
E02001437,245000 
E02001438,199950 
E02001439,170500 
E02001440,267500 
E02001441,340000 
E02001442,230000 
E02001443,329995 
E02001444,218000 
E02001445,185000 
E02001446,190500 
E02001447,186250 
E02001448,195000 
E02001449,247000 
E02001450,308300 
E02001451,86500 
E02001452,100000 
E02001453,215000 
E02001454,175000 
E02001455,159950 
E02001456,190000 
E02001457,100000 
E02001458,179000 
E02001459,120000 
E02001460,139000 
E02001461,149995 
E02001462,79000 
E02001463,136000 
E02001464,59000 
E02001465,81250 
E02001466,82500 
E02004015,369750 
E02004016,268750 
E02004017,185000 
E02004018,153000 
E02004019,250000 
E02004020,220000 
E02004021,315000 
E02004022,235000 
E02004023,295000 
E02004024,325000 
E02004025,245000 
E02004026,165000 
E02004027,225500 
E02004028,250000 
E02005287,205000 
E02005288,178250 
E02005289,190000 
E02005290,151225 
E02005291,142250 
E02005292,148000 
E02005293,132500 
E02005294,179995 
E02005295,142250 
E02005296,253750 
E02005297,187000 
E02005298,188995 
E02005299,135500 
E02005300,172500 
E02005301,130000 
E02005302,168000 
E02005303,130000 
E02001406,208000 
E02001407,165000 
E02001408,157500 
E02001409,118000 
E02001410,106500 
E02001411,119000 
E02001412,153000 
E02001413,113500 
E02001414,216500 
E02001415,153000 
E02001416,75000 
E02001417,83750 
E02001418,150995 
E02001419,70000 
E02001420,160500 
E02001421,104000 
E02001422,87000 
E02001423,225000 
E02001424,146750 
E02001425,134000 
E02001426,129000 
E02001427,128000 
E02001428,179975 
E02001187,155500 
E02001188,137000 
E02001189,200000 
E02001190,182995 
E02001191,215000 
E02001192,330000 
E02001193,150000 
E02001194,351000 
E02001195,173000 
E02001196,240500 
E02001197,260000 
E02001198,182500 
E02001199,295000 
E02001200,128000 
E02001201,172000 
E02001202,147000 
E02001203,341000 
E02001204,189050 
E02001205,160000 
E02001206,273000 
E02001207,240000 
E02001208,217500 
E02001209,165000 
E02001210,204000 
E02001211,323813 
E02001212,196498 
E02001213,218000 
E02001214,330000 
E02001215,230000 
E02001216,282500 
E02001217,180000 
E02001218,334000 
E02001219,254250 
E02001220,297500 
E02001221,290000 
E02001222,280000 
E02001223,383750 
E02001224,291750 
E02001225,285000 
E02001226,241000 
E02001227,415000 
E02001228,485995 
E02001229,136000 
E02001230,186250 
E02001231,179000 
E02001232,135000 
E02001233,128500 
E02001234,111500 
E02001235,136500 
E02001236,118000 
E02001237,130000 
E02001238,140000 
E02001239,139950 
E02001240,136250 
E02001241,90000 
E02001242,186500 
E02001243,168000 
E02001244,145000 
E02001245,130000 
E02001246,148500 
E02001247,168000 
E02001248,169000 
E02001249,140000 
E02001250,180995 
E02001251,150000 
E02001252,175000 
E02001253,150000 
E02001254,130000 
E02001255,154995 
E02001256,119000 
E02001257,145000 
E02001258,185000 
E02001259,113750 
E02001260,252975 
E02001261,200800 
E02001262,292500 
E02001263,263750 
E02001264,230000 
E02001265,233000 
E02001266,226500 
E02001267,241750 
E02001268,280000 
E02001269,225000 
E02001270,252000 
E02001271,277500 
E02001272,328500 
E02001273,223500 
E02001274,400000 
E02001275,150000 
E02001276,256250 
E02001277,222000 
E02001278,321325 
E02001279,350000 
E02001280,245000 
E02001281,375000 
E02001282,292995 
E02001283,351000 
E02001284,482500 
E02001285,580000 
E02001286,646000 
E02002590,317500 
E02002591,220000 
E02002592,154500 
E02002593,133000 
E02002594,148000 
E02002595,120000 
E02002596,165000 
E02002597,129500 
E02002598,249995 
E02002599,225000 
E02002600,118000 
E02002601,171000 
E02002602,105500 
E02002603,179975 
E02002604,217500 
E02002605,170000 
E02002606,113000 
E02002607,153500 
E02002608,174975 
E02002609,130000 
E02002610,295000 
E02002611,245000 
E02002612,277000 
E02002613,339950 
E02002614,445000 
E02005304,206000 
E02005305,197000 
E02005306,247500 
E02005307,208500 
E02005308,248000 
E02005309,210498 
E02005310,182975 
E02005311,240498 
E02005312,140995 
E02005313,82250 
E02005314,92000 
E02005315,297475 
E02005316,114000 
E02005317,74000 
E02005318,169975 
E02001287,220000 
E02001288,219995 
E02001289,167000 
E02001290,161500 
E02001291,120000 
E02001292,152000 
E02001293,141000 
E02001294,117000 
E02001295,93000 
E02001296,85000 
E02001297,124400 
E02001298,84500 
E02001299,118475 
E02001300,110000 
E02001301,94500 
E02001302,128515 
E02001303,135750 
E02001304,166000 
E02001305,159995 
E02001306,125000 
E02001307,155000 
E02001308,122500 
E02001309,135000 
E02001310,106995 
E02001311,127000 
E02001312,135000 
E02001313,108000 
E02001314,165250 
E02001315,262998 
E02001316,75000 
E02001317,150998 
E02001318,142750 
E02001319,114995 
E02001320,101500 
E02001321,130000 
E02001322,134248 
E02001323,151750 
E02001324,117613 
E02001325,200000 
E02001326,175373 
E02001467,141250 
E02001468,139950 
E02001469,161250 
E02001470,179000 
E02001471,100000 
E02001472,134975 
E02001473,125950 
E02001474,74250 
E02001475,119975 
E02001476,78000 
E02001477,98000 
E02001478,165000 
E02001479,220000 
E02001480,255000 
E02001481,135000 
E02001482,76750 
E02001483,181000 
E02001484,180000 
E02001485,144250 
E02001486,142475 
E02001487,76000 
E02001488,127000 
E02001489,226500 
E02001490,162000 
E02001491,115250 
E02001492,260000 
E02001493,105000 
E02001494,330000 
E02001495,135000 
E02001496,210000 
E02001497,133500 
E02001498,179995 
E02001499,189950 
E02001500,226000 
E02001501,190000 
E02001502,170000 
E02001503,215000 
E02001504,259975 
E02001505,158825 
E02001506,415000 
E02001507,177500 
E02001508,159500 
E02005319,84500 
E02005320,121000 
E02005321,135000 
E02005322,140000 
E02005323,139950 
E02005324,254950 
E02005325,231995 
E02005326,127000 
E02005327,266475 
E02005328,155000 
E02005329,124000 
E02005330,151750 
E02005331,181000 
E02005332,179975 
E02001509,170000 
E02001510,114500 
E02001511,117500 
E02001512,199950 
E02001513,161750 
E02001514,125000 
E02001515,91250 
E02001516,136998 
E02001517,150000 
E02001518,143750 
E02001519,140000 
E02001520,162950 
E02001521,88750 
E02001522,103498 
E02001523,120000 
E02001524,247500 
E02001525,80000 
E02001526,102500 
E02001527,137500 
E02001528,115000 
E02001529,118000 
E02001530,105000 
E02001531,127000 
E02001532,184250 
E02001533,105000 
E02001534,130000 
E02001535,220150 
E02001536,145000 
E02001537,123000 
E02001538,117000 
E02002183,332500 
E02002184,331250 
E02002185,293000 
E02002186,197500 
E02002187,334500 
E02002188,165000 
E02002189,150000 
E02002190,100000 
E02002191,98498 
E02002192,235500 
E02002193,96000 
E02002194,119975 
E02002195,247000 
E02002196,159950 
E02002197,150000 
E02002198,170000 
E02002199,217000 
E02002200,198000 
E02002201,180000 
E02002202,165000 
E02002203,122500 
E02002204,175000 
E02002205,169950 
E02002206,139950 
E02002207,127500 
E02002208,110000 
E02002209,95000 
E02002210,123000 
E02002211,135750 
E02002212,115000 
E02002213,184950 
E02002214,118000 
E02002215,100000 
E02002216,136995 
E02002217,73000 
E02002218,139498 
E02002219,75000 
E02002220,90000 
E02002221,71000 
E02002222,110000 
E02002223,63000 
E02002224,70000 
E02002225,135000 
E02002226,73500 
E02002227,60000 
E02002228,80000 
E02002229,124250 
E02002230,71500 
E02002231,117500 
E02002232,65500 
E02002233,76000 
E02002234,78000 
E02002235,80000 
E02002236,108000 
E02002237,108000 
E02002238,85000 
E02002239,116000 
E02002240,162000 
E02002241,118000 
E02002242,120000 
E02002243,120000 
E02002244,152500 
E02002245,102500 
E02002246,172250 
E02002247,200000 
E02002248,124375 
E02002249,85000 
E02002250,147000 
E02002251,90000 
E02002252,146500 
E02002253,80000 
E02002254,188500 
E02002255,70000 
E02002256,125750 
E02002257,68500 
E02002258,140000 
E02002259,171500 
E02002260,120000 
E02002261,123000 
E02002262,160000 
E02002263,158250 
E02002264,190000 
E02002265,162500 
E02002266,161000 
E02002267,170750 
E02002268,130000 
E02002269,165000 
E02002270,221500 
E02005742,206500 
E02005743,294975 
E02005744,245000 
E02005745,405000 
E02005746,207000 
E02005747,153500 
E02005748,214875 
E02005749,195000 
E02001539,109995 
E02001540,124995 
E02001541,119950 
E02001542,102995 
E02001543,103000 
E02001544,110000 
E02001545,154500 
E02001546,154500 
E02001547,127000 
E02001548,89500 
E02001549,146500 
E02001550,125000 
E02001551,95000 
E02001552,120000 
E02001553,115000 
E02001554,143000 
E02001555,135000 
E02001556,109000 
E02001557,141000 
E02001558,220000 
E02001559,180000 
E02001560,80000 
E02001561,80414 
E02001562,131500 
E02001563,200000 
E02001564,196000 
E02001565,215000 
E02001566,147500 
E02001567,120745 
E02001568,135000 
E02001569,75000 
E02001570,112000 
E02001571,148000 
E02001572,99950 
E02001573,98500 
E02001574,142500 
E02001575,124950 
E02001576,218995 
E02001577,201500 
E02002684,148000 
E02002685,158000 
E02002686,115500 
E02002687,124500 
E02002688,124000 
E02002689,195000 
E02002691,189950 
E02002692,269950 
E02002693,190000 
E02002694,244995 
E02002695,146000 
E02002696,192750 
E02002697,180000 
E02002698,208000 
E02002699,235000 
E02002700,152500 
E02002701,250000 
E02002702,179950 
E02002703,255000 
E02002704,157475 
E02002705,220000 
E02002706,160000 
E02002707,280000 
E02002708,160000 
E02002709,155000 
E02002710,202500 
E02002711,269998 
E02002712,135500 
E02002714,142000 
E02002715,215000 
E02002716,150000 
E02002717,143750 
E02002718,312500 
