MSOA Code,Cases1,Cases2,Cases3,NUK,O65,Bame,HP,OO,OML,SR,PR,NP,Density,Geo,IMD,Health,Income,AS,Employment,Education,Crime,Environment
E02000053,287.8,1114.7,1336.5,57.180637,0.129181193,0.590318501,490000,19,24.2,15.5,37.2,3.6,109.5252838,-0.6896,20.2754,-1.1562,0.1302,0.2676,0.0678,10.8684,0.017,39.2176
E02000054,261.5,1490.6,1752.1,52.05384402,0.067305963,0.459616986,592500,24.4,29.6,6.8,37,3.8,107.6451613,0.38,16.443,-1.3385,0.104,0.192,0.06025,4.3005,-0.04425,26.38575
E02000055,508.8,1075.6,1550.7,51.03324349,0.121731172,0.381221923,535000,24.7,21.1,14.4,37.2,4.4,50.98666667,-0.964333333,15.539,-1.080333333,0.093833333,0.195666667,0.063833333,5.141666667,0.333,31.45266667
E02000056,416.1,780.6,1259.2,33.38037343,0.127730532,0.2032132,1130000,40.7,29.2,5.4,21.9,5.8,83.29166667,0.129333333,8.118,-1.992166667,0.042333333,0.107833333,0.027,1.615833333,-0.1275,25.57633333
E02000057,330.7,1273.7,1077.8,44.21432389,0.18774066,0.295831106,630000,29.1,25.8,6.1,36.7,4.9,29.77688255,-0.34525,13.831,-1.2895,0.0815,0.19225,0.0625,6.13725,0.021,29.279
E02000058,337.9,1059.2,1041,39.5890411,0.11524801,0.232191781,865000,35.8,26.4,5.6,30.5,3.4,74.56621005,-0.362,10.08133333,-1.429333333,0.068833333,0.141,0.054666667,2.792833333,-0.166,25.03566667
E02000059,564.2,741.1,1389.7,54.64193518,0.174230664,0.577971125,475000,22.2,23.3,23.6,28.8,2.4,60.40264755,-0.667166667,22.36266667,-0.725166667,0.135833333,0.2995,0.083,14.1435,0.268333333,30.44933333
E02000060,582.9,947.1,1117.1,43.11355311,0.112187316,0.273901099,735000,27.4,21.9,7.4,40.9,3.9,54.11577028,-0.474833333,15.24683333,-0.854333333,0.095833333,0.207166667,0.074,8.247666667,-0.022833333,27.26266667
E02000061,566.8,1177.2,1209.9,50.86734057,0.129523193,0.337077249,695000,31.3,19.5,3.1,43.3,6.7,100.1865369,-0.4696,13.7724,-1.5094,0.0728,0.134,0.0554,3.769,0.4422,30.5378
E02000062,256.4,1096.7,1367.3,50.78864353,0.148991826,0.506309148,489000,15.3,21,30.1,30.9,2.2,57.81348456,-0.20375,33.444,-0.353,0.20025,0.3385,0.123,18.6035,1.09175,35.679
E02000063,377.1,1181.8,1810.1,56.14689428,0.099843327,0.477262946,515500,27.6,25.9,6.3,37.6,3.1,38.1783578,-0.40575,22.8265,-0.6095,0.15475,0.271,0.10775,10.89425,0.342,29.4
E02000064,187.6,924,1429.1,47.66325224,0.119421747,0.391485275,504000,22.2,19.3,25.4,30.3,3.8,76.71166827,-0.57,22.33325,-0.561,0.1685,0.2265,0.10425,9.659,0.42375,25.427
E02000065,368.7,938.4,1228.9,40.25567441,0.121408979,0.566918863,275000,10.9,40.2,22.8,24.4,5.2,87.2418136,0.1735,20.6815,-0.40775,0.16025,0.29,0.08975,12.282,-0.02675,11.65825
E02000066,412.6,599.1,1316.1,35.36977492,0.078985588,0.470905508,328500,13.3,22.5,50.3,12.7,6.1,27.92823713,-0.151666667,28.73,-0.167833333,0.209833333,0.3625,0.126666667,21.26383333,0.492,13.837
E02000067,315.8,774.8,1693.1,22.57142857,0.112060499,0.304228571,285000,20.3,37.5,19.5,21.1,3.2,64.72981564,-0.1494,25.4846,-0.3012,0.1674,0.3512,0.1042,26.0212,0.3234,27.5886
E02000068,317.2,1145.9,1511.6,26.27233351,0.102544481,0.346913914,220000,15.6,31.5,23.9,23,3.6,45.17718237,-0.3915,28.071,0.017,0.19325,0.3405,0.116,22.19825,0.622,23.37975
E02000069,332.8,709,1938.9,17.30707136,0.092527124,0.256377139,327500,33,37.8,12.6,15.2,3,36.10475352,-0.21525,19.388,-0.46225,0.12775,0.3315,0.08425,19.546,0.28425,24.7555
E02000070,272.3,1324.4,2042.3,12.66031746,0.161336999,0.176126984,380000,41.9,39.7,7.7,8.8,2.5,47.62922123,0.0384,13.2614,-0.6838,0.0814,0.3492,0.066,18.9166,-0.324,17.5306
