MSOA11CD,all_bame_prop
E02000612,0.272421525
E02000613,0.190664456
E02000614,0.352927178
E02000615,0.167982867
E02000616,0.116232797
E02000617,0.153918238
E02000619,0.472560219
E02000620,0.410779082
E02000621,0.373094256
E02000622,0.396713615
E02000623,0.466583229
E02000624,0.515797392
E02000625,0.509149623
E02000626,0.647150946
E02000627,0.434019434
E02000628,0.608262255
E02000629,0.294365106
E02000630,0.256537297
E02000631,0.372622283
E02000632,0.29665826
E02000633,0.500115714
E02000634,0.392638037
E02000635,0.460085181
E02000636,0.183139154
E02000637,0.367560723
E02000638,0.465649626
E02000639,0.557211479
E02000640,0.283788228
E02000641,0.617496298
E02000642,0.378687162
E02000643,0.374955192
E02000644,0.408932715
E02000645,0.385365854
E02000646,0.3608157
E02000647,0.415301191
E02000648,0.555256065
E02000649,0.398801538
E02000650,0.438712284
E02000651,0.451984635
E02000652,0.596088551
E02000653,0.562148876
E02000654,0.659511106
E02000655,0.57334308
E02000657,0.471028861
E02000658,0.438657686
E02000659,0.360530077
E02000660,0.385862837
E02000661,0.231315043
E02000662,0.551234568
E02000663,0.45941062
E02000664,0.532232071
E02000665,0.336154624
E02000666,0.447889633
E02000667,0.418732782
E02000668,0.337539432
E02000669,0.493748337
E02000670,0.616760973
E02000671,0.377841247
E02000672,0.570610004
E02000673,0.341825902
E02000674,0.557454772
E02000675,0.36079961
E02000676,0.411772332
E02000677,0.566328657
E02000678,0.480039428
E02000679,0.437444655
E02000680,0.429531182
E02000681,0.500247097
E02000682,0.523401127
E02000683,0.392613284
E02000685,0.42935278
E02000686,0.528663374
E02000687,0.406384052
E02000689,0.199442964
E02000690,0.167963225
E02000691,0.212844287
E02000692,0.200078309
E02000693,0.346342527
E02000694,0.230584192
E02000695,0.600699891
E02000696,0.466427156
E02000697,0.223682609
E02000698,0.178480041
E02000699,0.177916504
E02000700,0.429794934
E02000701,0.581511407
E02000702,0.525268395
E02000703,0.278083067
E02000704,0.238698011
E02000705,0.591826686
E02000706,0.531667635
E02000707,0.58348918
E02000708,0.309920348
E02000709,0.241397221
E02000710,0.409292832
E02000711,0.402549645
E02000712,0.33505569
E02000713,0.210947931
E02000714,0.68793803
E02000715,0.818859233
E02000716,0.761626326
E02000717,0.843722997
E02000718,0.827147867
E02000719,0.641918208
E02000720,0.779633837
E02000721,0.845421624
E02000722,0.597738877
E02000723,0.915660377
E02000724,0.881465746
E02000725,0.584272195
E02000726,0.600652272
E02000727,0.903552077
E02000728,0.854260362
E02000729,0.703531073
E02000730,0.892682384
E02000731,0.850392137
E02000732,0.831086439
E02000733,0.672954685
E02000734,0.691311175
E02000735,0.783962015
E02000736,0.752304282
E02000737,0.702777189
E02000738,0.728947679
E02000739,0.686248912
E02000740,0.618232778
E02000741,0.664326353
E02000742,0.675452842
E02000743,0.619628782
E02000744,0.554489974
E02000745,0.575482128
E02000746,0.578163099
E02000747,0.537760661
E02000748,0.464903846
E02000749,0.534156177
E02000750,0.540874614
E02000751,0.211379774
E02000752,0.292589875
E02000753,0.30417074
E02000754,0.287888199
E02000755,0.272901495
E02000756,0.349406176
E02000757,0.265283084
E02000758,0.511002856
E02000759,0.371969445
E02000760,0.46284318
E02000762,0.624801272
E02000763,0.602049654
E02000764,0.301980615
E02000765,0.659914543
E02000767,0.623030462
E02000768,0.303180212
E02000769,0.568983657
E02000770,0.751256281
E02000772,0.73181475
E02000773,0.789845619
E02000774,0.806594625
E02000776,0.762397991
E02000777,0.29763726
E02000779,0.787253258
E02000780,0.842424656
E02000781,0.732884728
E02000782,0.84164065
E02000783,0.825361819
E02000784,0.142829401
E02000785,0.121299639
E02000786,0.116860518
E02000787,0.189450223
E02000788,0.103543488
E02000789,0.142834087
E02000790,0.100597449
E02000791,0.124816686
E02000792,0.099155816
E02000793,0.228884511
E02000794,0.149947042
E02000795,0.114815889
