MSOA Code,areaName,Not United Kingdom (%),Owned: Owned outright (%),Owned: Owned with a mortgage or loan (%),Social rented (%),Private rented (%),Household spaces with no usual residents (%),population_density,population_prop_over65
E02000112,Wembley East,66.49703138,26.8,25.1,9.1,35.8,4.4,107.359199,0.128351597
E02000113,St Raphaels,47.96478509,8.8,13.4,59.2,14.9,1.4,97.03900709,0.122419149
E02000114,Willesden Green,53.38512764,13.2,17.4,20.6,45,2.6,82.9787234,0.118708452
E02000115,Brondesbury,46.7146283,13.9,18,26.4,39.6,3.5,65,0.108957081
E02000116,Roundwood Park,58.42021342,10.1,12,32.9,39.9,2.1,162.6101142,0.102829053
E02000117,Church End,52.56805128,9.4,13,47.2,26.6,2.1,102.6619552,0.118747132
E02000118,Alperton East,65.23076923,22.2,29.9,20.4,24.9,1.6,85.83029197,0.080684597
E02000119,Stonebridge,49.98620309,5.2,7.7,66.3,15.3,2.7,144.5842697,0.108874728
E02000120,Kilburn West,46.77664424,13,20.5,23.6,41.3,3.3,84.64343598,0.110483485
E02000121,Alperton West,69.22646367,26.7,26.4,9.4,33.7,9.2,35.23920653,0.099448124
E02000122,Brondesbury Park,43.48310434,26.9,27.5,17.9,25.4,3.2,182.7470356,0.107169893
E02000123,Harlesden,54.94259121,8.9,15.1,33.9,39.1,1.9,77.13978495,0.11959855
E02000124,Queens Park,42.22265701,17.7,23.3,20.7,36.2,2.6,64.14309484,0.151750973
E02000125,Kensal Green,44.56773,21.6,26.8,21.4,28,2,150.8695652,0.085174512
E02000126,Kilburn Park,49.58199357,4.3,7.6,72.1,13,1.1,91.21239745,0.107935239
E02000127,Mottingham,15.63126253,20.9,30.7,35.8,10.4,5.4,132.5848564,0.1262308
E02000128,Chislehurst North,11.25582671,30.8,43.1,12.5,12.4,3.3,177.1689498,0.103737113
E02000130,Penge East,24.80414455,22.1,36.8,19.1,19.9,3.9,42.22921348,0.131545338
E02000131,Crystal Palace Park,30.79070806,10.4,28.3,26.4,33.4,2.8,30.59913283,0.171325518
E02000132,New Beckenham,21.32601844,24.6,28.5,15.1,29.3,3.6,58.93001346,0.132808039
E02000133,Chislehurst West & Elmstead,14.19945867,45.2,39.7,2.5,11,5.5,60.48104131,0.069804435
E02000134,Bromley North & Sundridge,18.91766453,22.5,34.9,17.1,23.9,5.5,59.05063291,0.145279158
E02000135,Anerley North & Penge West,30.19313746,7.6,17.7,50.5,21.4,3.1,17.76811109,0.206967985
E02000136,Chislehurst East & Hoblingwell Wood,12.77932961,37.1,35.4,19.3,5.9,4.9,62.52713178,0.128853624
E02000137,Shortlands Bromley Road,17.54408382,35,37.8,7.4,18.8,3,92.39412273,0.097754911
E02000138,Beckenham East & Kelsey Park,18.5609879,39.1,33.1,3.5,22.5,3.9,12.69576662,0.225984796
E02000139,Clock House & Cator Park,15.54091159,23.8,43.3,13.4,17,3.4,45.88393337,0.194285045
E02000140,St Mary Cray North,11.44136301,19.5,26.4,45,6.4,1.8,41.01199041,0.233072155
E02000141,Anerley South,20.37463977,22.5,42.1,14.8,18.8,5.3,52.03125,0.116116116
E02000142,Widmore,15.90826795,34.1,42.3,5.9,16.1,3.7,46.80975093,0.125551908
E02000144,Bromley South,21.16115655,31,37,5.2,25.3,4.7,79.8392283,0.118539401
